risk_factor_id,broad_risk_class,source_risk_class,market_group,market_key,tenor_years,factor_type,desks,trade_count,signed_sensitivity_inr,absolute_sensitivity_inr,liquidity_category,liquidity_horizon_days,rfet_observation_profile,valuation_anchor_value,input_data_status,input_explanation
APPLE,EQUITY,EQUITY,equity_spot,APPLE,,standard,Equity,1,92665000.0,92665000.0,EQUITY_LARGE_CAP_PRICE,10,FREQUENT_100_ROUTE,215.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
AXIS_BANK_5.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,AXIS_BANK,5.0,standard,Credit,2,-219323260.7983178,627384982.1211272,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.011,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
BRENT_0.25Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,BRENT,0.25,standard,Commodity,1,724080000.000003,724080000.000003,COMMODITY_ENERGY_PRICE,20,FREQUENT_100_ROUTE,84.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
BRENT_0.5Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,BRENT,0.5,standard,Commodity,1,228589330.1702991,228589330.1702991,COMMODITY_ENERGY_PRICE,20,FREQUENT_100_ROUTE,84.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
BRENT_1.0Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,BRENT,1.0,standard,Commodity,1,-579264000.0000023,579264000.0000023,COMMODITY_ENERGY_PRICE,20,FREQUENT_100_ROUTE,84.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
BRENT_VOL_0.5Y,COMMODITY,COMMODITY,volatility,BRENT,0.5,standard,Commodity,1,31126482.194586277,31126482.194586277,COMMODITY_ENERGY_VOLATILITY,60,REGULAR_24_ROUTE,0.32,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
CDX_IG_S42_3_7_5.0Y,CREDIT_SPREAD,CSR_SECURITISATION_CTP,credit_spreads,CDX_IG_S42_3_7,5.0,standard,Credit,1,-323250000.0,323250000.0,CREDIT_SPREAD_OTHER,120,SPARSE_FAIL,0.025,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
CDX_IG_S42_5.0Y,CREDIT_SPREAD,CSR_SECURITISATION_CTP,credit_spreads,CDX_IG_S42,5.0,standard,Credit,1,215500000.0,215500000.0,CREDIT_SPREAD_OTHER,120,REGULAR_24_ROUTE,0.009,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EURINR,FX,FX,fx,EURINR,,standard,"Credit, FX, Rates",5,142810002.47765878,573151194.4648435,FX_SPECIFIED_PAIR,10,FREQUENT_100_ROUTE,93.4,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EURINR_VOL_1.0Y,FX,FX,volatility,EURINR,1.0,standard,FX,1,3952624.1621970944,3952624.1621970944,FX_VOLATILITY,40,REGULAR_24_ROUTE,0.1,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
