trade_id,desk,sub_portfolio,instrument_type,product_form,currency,quantity,notional,long_short,underlying,issuer,rating,sector,economy,market_cap,maturity_years,option_expiry_years,strike,option_type,coupon,fixed_rate,seniority,csr_class,csr_bucket,equity_bucket,commodity_bucket,drc_class,drc_bucket,attachment,detachment,rrao_type,rrao_reason,is_synthetic
R01,Rates,INR Government,BOND,cash,INR,1,100000000,long,INR_GSEC,INDIA,BBB,SOVEREIGN,EMERGING,LARGE,2,0,0,NONE,0.065,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R02,Rates,INR Government,BOND,cash,INR,1,150000000,long,INR_GSEC,INDIA,BBB,SOVEREIGN,EMERGING,LARGE,5,0,0,NONE,0.07,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R03,Rates,INR Government,BOND,cash,INR,1,120000000,short,INR_GSEC,INDIA,BBB,SOVEREIGN,EMERGING,LARGE,10,0,0,NONE,0.072,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R04,Rates,Foreign Government,BOND,cash,USD,1,2000000,long,USD_TREASURY,US_GOV,AAA,SOVEREIGN,ADVANCED,LARGE,5,0,0,NONE,0.042,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R05,Rates,Foreign Government,BOND,cash,EUR,1,1800000,long,EUR_BUND,GERMANY,AAA,SOVEREIGN,ADVANCED,LARGE,10,0,0,NONE,0.028,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R06,Rates,Swaps,IRS,derivative,INR,1,200000000,short,INR_OIS,NONE,UNRATED,FINANCIALS,EMERGING,LARGE,5,0,0,NONE,0,0.066,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R07,Rates,Swaps,IRS,derivative,USD,1,3000000,long,USD_OIS,NONE,UNRATED,FINANCIALS,ADVANCED,LARGE,10,0,0,NONE,0,0.041,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R08,Rates,Money Market,FRA,derivative,INR,1,100000000,long,INR_OIS,NONE,UNRATED,FINANCIALS,EMERGING,LARGE,0.5,0,0,NONE,0,0.064,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R09,Rates,Options,SWAPTION,derivative,INR,1,150000000,long,INR_OIS,NONE,UNRATED,FINANCIALS,EMERGING,LARGE,5,2,0.067,CALL,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R10,Rates,Options,SWAPTION,derivative,USD,1,2500000,long,USD_OIS,NONE,UNRATED,FINANCIALS,ADVANCED,LARGE,10,2,0.043,PUT,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
